id,ITEM_ID,USER_ID,quantity,TIMESTAMP
1,3525,542,2,6879867
2,3640,738,5,6879872
3,1363,416,3,6879877
4,1267,853,5,6879882
5,18,378,1,6879887
6,2703,309,3,6879892
7,3433,210,4,6879897
8,3525,256,4,6879902
9,4476,338,3,6879907
10,2773,85,1,6879912
11,2736,585,3,6879917
12,308,272,4,6879922
13,3001,779,3,6879927
14,3047,4,5,6879932
15,2515,289,3,6879937
16,2741,434,5,6879942
17,3783,361,1,6879947
18,2017,958,5,6879952
19,666,313,1,6879957
20,70,528,3,6879962
21,3675,4,1,6879967
22,1359,963,4,6879972
23,2665,136,2,6879977
24,13,347,5,6879982
25,1024,461,1,6879987
26,2081,587,1,6879992
27,955,619,3,6879997
28,3098,468,5,6880002
29,367,655,1,6880007
30,1843,322,1,6880012
31,3958,627,1,6880017
32,625,165,5,6880022
33,2259,93,4,6880027
34,2980,544,4,6880032
35,1468,870,5,6880037
36,3972,669,5,6880042
37,386,257,4,6880047
38,2585,5,3,6880052
39,4178,893,1,6880057
40,319,784,1,6880062
41,351,872,2,6880067
42,1489,873,5,6880072
43,4238,744,5,6880077
44,2670,973,5,6880082
45,1945,25,3,6880087
46,1163,751,5,6880092
47,1396,61,3,6880097
48,1586,845,4,6880102
49,1883,429,1,6880107
50,1229,439,2,6880112
51,375,977,4,6880117
52,2501,941,1,6880122
53,3432,88,3,6880127
54,2171,977,4,6880132
55,2727,278,4,6880137
56,2596,913,2,6880142
57,4125,533,2,6880147
58,1141,295,1,6880152
59,4443,712,5,6880157
60,2050,317,5,6880162
61,3055,543,1,6880167
62,425,412,2,6880172
63,2208,520,4,6880177
64,4372,957,1,6880182
65,3775,604,1,6880187
66,2604,5,3,6880192
67,2049,179,1,6880197
68,3077,403,1,6880202
69,4369,183,5,6880207
70,1559,680,5,6880212
71,2275,721,5,6880217
72,1456,562,1,6880222
73,4355,714,4,6880227
74,2881,97,4,6880232
75,628,963,2,6880237
76,3043,303,5,6880242
77,2936,59,2,6880247
78,3181,688,1,6880252
79,3415,666,2,6880257
80,3422,12,4,6880262
81,3794,930,3,6880267
82,3804,403,2,6880272
83,1960,306,3,6880277
84,1961,921,5,6880282
85,757,875,2,6880287
86,1770,31,2,6880292
87,3513,774,2,6880297
88,4242,281,2,6880302
89,2337,861,1,6880307
90,3636,56,5,6880312
91,1999,768,3,6880317
92,4436,359,1,6880322
93,838,529,1,6880327
94,2866,164,2,6880332
95,1178,888,2,6880337
96,591,601,3,6880342
97,2697,66,4,6880347
98,4260,88,3,6880352
99,642,563,5,6880357
100,1989,3,2,6880362
101,3442,504,2,6880367
102,1948,34,1,6880372
103,3026,403,5,6880377
104,2683,752,4,6880382
105,1020,234,4,6880387
106,4164,508,5,6880392
107,285,748,2,6880397
108,4164,220,5,6880402
109,1545,862,5,6880407
110,1369,6,4,6880412
111,3215,921,4,6880417
112,530,627,2,6880422
113,4305,142,2,6880427
114,1616,366,3,6880432
115,296,206,4,6880437
116,1505,669,1,6880442
117,2862,247,1,6880447
118,936,55,5,6880452
119,137,895,5,6880457
120,2656,579,5,6880462
121,642,449,4,6880467
122,4380,669,1,6880472
123,1886,673,4,6880477
124,3134,114,2,6880482
125,2451,695,1,6880487
126,2072,673,1,6880492
127,3569,959,4,6880497
128,3426,139,2,6880502
129,1791,281,4,6880507
130,1808,979,2,6880512
131,2605,248,1,6880517
132,589,577,2,6880522
133,4339,101,5,6880527
134,1433,288,4,6880532
135,1560,553,3,6880537
136,686,14,4,6880542
137,1685,960,4,6880547
138,3352,189,4,6880552
139,801,766,2,6880557
140,2249,617,1,6880562
141,3452,710,2,6880567
142,1736,309,1,6880572
143,1717,485,5,6880577
144,952,828,1,6880582
145,4327,105,4,6880587
146,3798,488,3,6880592
147,148,30,2,6880597
148,4230,220,3,6880602
149,1473,380,5,6880607
150,3407,786,3,6880612
151,2112,795,5,6880617
152,2606,27,2,6880622
153,2107,47,4,6880627
154,20,773,2,6880632
155,2640,274,3,6880637
156,4018,103,2,6880642
157,1241,579,1,6880647
158,3548,176,5,6880652
159,38,745,5,6880657
160,1700,559,4,6880662
161,193,337,2,6880667
162,1019,103,5,6880672
163,3144,945,2,6880677
164,945,90,1,6880682
165,1495,370,2,6880687
166,3330,888,4,6880692
167,2962,172,4,6880697
168,943,625,3,6880702
169,3375,914,2,6880707
170,2239,542,5,6880712
171,570,699,4,6880717
172,39,340,5,6880722
173,2228,531,2,6880727
174,3895,991,2,6880732
175,3122,766,5,6880737
176,866,512,5,6880742
177,2636,387,5,6880747
178,2711,223,3,6880752
179,2515,907,1,6880757
180,2273,272,4,6880762
181,1315,954,3,6880767
182,2401,179,5,6880772
183,1093,345,3,6880777
184,256,818,1,6880782
185,1645,690,4,6880787
186,2820,644,4,6880792
187,130,666,1,6880797
188,1563,29,3,6880802
189,2190,229,5,6880807
190,2961,570,3,6880812
191,4253,760,2,6880817
192,699,632,4,6880822
193,3931,43,1,6880827
194,129,701,2,6880832
195,979,4,2,6880837
196,3645,40,4,6880842
197,3197,982,4,6880847
198,2361,497,3,6880852
199,2303,802,5,6880857
200,2621,172,2,6880862
201,2365,928,3,6880867
202,4098,612,5,6880872
203,2193,831,5,6880877
204,1789,488,4,6880882
205,4098,846,5,6880887
206,653,195,3,6880892
207,3307,170,2,6880897
208,442,941,4,6880902
209,1333,191,3,6880907
210,4292,894,5,6880912
211,1472,192,4,6880917
212,4428,709,5,6880922
213,1898,274,3,6880927
214,511,913,4,6880932
215,339,879,3,6880937
216,255,220,1,6880942
217,1323,498,2,6880947
218,3739,718,1,6880952
219,1079,391,4,6880957
220,3519,404,4,6880962
221,119,997,5,6880967
222,3890,269,2,6880972
223,3128,538,5,6880977
