ITEM_ID,name,description,selling_price,actual_price,unit,catgory_id_id,shop_id_id,slug
1,CVS Alcohol Prep,Up-sized,709.51,8094.43,1,1,241,1
2,Hydrogen Peroxide,intermediate,6903.2,6143.02,1,1,93,2
3,Lupron Depot,support,7882.99,4058.45,1,1,44,3
4,Lyrica,Innovative,214.87,577.08,1,1,178,4
5,Phenazopyridine Hydrochloride,project,246.21,2542.01,1,1,267,5
6,Triple Antibiotic,emulation,1308.14,5487.07,1,1,16,6
7,Metformin Hydrochloride,contextually-based,3913.44,4261.05,1,1,91,7
8,Theochem Foaming Hand Sanitizer,transitional,8894.45,2970.53,1,1,240,8
9,Azithromycin,User-centric,8724.3,2651.47,1,1,70,9
10,Hives - Rashes,help-desk,1952.59,3891.83,1,1,178,10
11,Good Neighbor Pharmacy,Function-based,3749.68,685.72,1,1,58,11
12,NightTime Sinus Relief,discrete,6250.73,5062.08,1,1,160,12
13,IOPE AIR CUSHION XP,fresh-thinking,2767,847.75,1,1,98,13
14,Cyclease Cramp,Persevering,7261.69,5516.26,1,1,4,14
15,Baclofen,intangible,1867.64,8230.5,1,1,232,15
16,up and up tussin multi symptom cold,asynchronous,14.85,5333.46,1,1,251,16
17,Scar Freee,Face to face,7697.06,8862.4,1,1,232,17
18,Fluorouracil,infrastructure,9740.18,7245.73,1,1,72,18
19,Gabapentin,moratorium,8700.89,9318.53,1,1,212,19
20,Oxygen,open system,4823.58,6453.25,1,1,149,20
21,Alcohol,foreground,4110.28,2655.4,1,1,276,21
22,Clindamycin in 5 Percent Dextrose,eco-centric,3226,7152.55,1,1,110,22
23,EPIDERMOPHYTON FLOCCOSUM,Grass-roots,5449.55,5327.09,1,1,53,23
24,SHISEIDO FUTURE SOLUTION LX TOTAL RADIANCE FOUNDATION,complexity,4532.08,7549.82,1,1,138,24
25,SEROQUEL,context-sensitive,3006.26,1251.71,1,1,168,25
26,AcipHex,secured line,6298.26,2082.52,1,1,45,26
27,Antispetic,portal,6142.29,651.42,1,1,67,27
28,Docusate Sodium,Customizable,1181.16,7872.69,1,1,244,28
29,Calcijex,artificial intelligence,4547.71,4165.62,1,1,197,29
30,Childrens Multi-Symptom Cold,Mandatory,6645.07,5619.36,1,1,212,30
31,Anectine,Secured,2207.73,1678.64,1,1,49,31
32,OCTREOSCAN,moratorium,6282.71,3188.14,1,1,191,32
33,Bambusa Aurum,real-time,992.72,3341.48,1,1,188,33
34,Amlodipine Besylate,extranet,3748.73,9159.49,1,1,230,34
35,Oxygen,upward-trending,4943.5,4028.9,1,1,298,35
36,Treatment Set TS346962,Optional,9799.12,2953.55,1,1,231,36
37,Renvela,middleware,9982.55,4984.98,1,1,71,37
38,Licorice,leverage,2885.51,7576.63,1,1,24,38
39,Lamb Quarters,Profound,8543.63,9437.65,1,1,82,39
40,Zinc Cold Remedy,hierarchy,8098.15,7336.23,1,1,16,40
41,LIFT LUMIERE,leading edge,623.23,7834.59,1,1,122,41
42,Antibacterial Foam Hand Wash,Multi-channelled,2026.84,9279.32,1,1,76,42
43,Kaopectate Regular Strength Vanilla Flavor Anti Diarrheal,strategy,9703.77,772.18,1,1,263,43
44,Fast,function,639.38,7300.85,1,1,180,44
45,Temazepam,Advanced,6326.13,3009.31,1,1,11,45
46,Mark 3,Customer-focused,9405.39,331.04,1,1,35,46
47,Fluoxetine Hydrochloride,Exclusive,1543.82,9515.39,1,1,218,47
48,Natures Gate,coherent,3238.61,6645.04,1,1,116,48
49,Bronchitone,Polarised,681.23,280.06,1,1,70,49
50,kaiser permanente benzoyl peroxide,benchmark,9638.74,7870.86,1,1,6,50
51,Covergirl Outlast Stay Fabulous 3in1 Foundation,local,3659.59,7776.41,1,1,192,51
52,Sulfamethoxazole and Trimethoprim,Secured,8204.1,7533.15,1,1,222,52
